标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡)
上屋地铁口（内部价168全抛，红本过户）银行按揭，送新家私电,3室2厅1卫,75.9㎡,南,高层(共45层),2020年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南,近地铁,价格优惠,房东急售",276,36364元/㎡
香蜜三村 装修豪华保养好 商品住宅 出行方便 近医院 临地铁,3室2厅1卫,118.9㎡,西北,低层(共25层),1995年建造,香蜜三村,福田,景田南,景田南四街30号,"西北,满五年,近地铁,采光较好",488,41043元/㎡
前海  花园社区，全新装修好，满五年红本！小区总价,2室2厅1卫,70.3㎡,南,低层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"南,满二年,近地铁,绿化率高",449,63870元/㎡
福田皇岗口岸次新房端头户型两房房东诚售,2室2厅1卫,62.4㎡,南北,低层(共48层),2021年建造,深物业金领,福田,皇岗,福田南路40号,"南北,唯一住房,近地铁,次新房",390,62500元/㎡
端头位，三面采光，电梯小高层,3室2厅2卫,89㎡,南北,低层(共18层),1995年建造,香蜜三村,福田,景田南,景田南四街30号,"南北,满五年,近地铁,采光较好",380,42697元/㎡
精装两房，户型方正，楼下地铁口，住家舒适，满五年,2室1厅1卫,72.54㎡,西北,低层(共32层),1991年建造,海富花园,罗湖,黄贝岭,深南东路1017号,"西北,满五年,近地铁",229,31569元/㎡
梦中情房南  院子8xx，二梯石厦护航，品质花园泳池小区急卖,4室2厅2卫,116.92㎡,南,低层(共12层),2002年建造,恒冠豪园,福田,石厦,石厦北二街4号,"经纪人力荐,南,热门小区,配套成熟",889,76035元/㎡
南北通透 商品住宅 精装可拎包入住 满五   出行方便,3室2厅2卫,89.38㎡,南北,低层(共49层),2020年建造,星河天地(一三期),光明,光明,光明大道511号,"南北,满二年,近地铁",340,38040元/㎡
业主急卖！！深圳北站电梯小高层，全景看别墅，采光通风视野好,2室2厅1卫,73.58㎡,南北,中层(共11层),2003年建造,馨园(二期),龙华,民治,欣梅西路,"南北,近地铁,多人关注",253,34385元/㎡
推窗即山景！莲花山 灯光秀，东南向MVP户型，诚售,3室2厅2卫,96.61㎡,东南,高层(共29层),1994年建造,景新花园,福田,景田北,莲花路2002号,"东南,满五年,近地铁,采光较好",498,51548元/㎡
公园大地精装四房！业主急售！来电咨询优先看房！朝南看龙城公园,4室2厅2卫,167.73㎡,南北,中层(共32层),2019年建造,公园大地,龙岗,龙岗中心城,龙翔大道6063号,"南北,满五年,近地铁,车位充足",399,23789元/㎡
朝向好 有电梯 商品房 次新小区 小三房 中间好楼层,3室2厅1卫,85.84㎡,西南,中层(共34层),2022年建造,玺悦台,坪山,坪山,宝横路,"西南,满二年,车位充足,人气热搜",188,21902元/㎡
新出朝南精装三房，满5装修好，业主工作调动诚心卖,3室2厅1卫,81.06㎡,南,中层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"南,热门小区,房东急售,随时可看",495,61066元/㎡
业主急售信义金御山居精装修三房两卫南北通透可拎包入住欢迎咨询,3室2厅2卫,84㎡,南北,高层(共32层),2020年建造,信义金御山居,龙岗,横岗,广达路27号,"南北,满五年,近地铁,人气热搜",244,29048元/㎡
信义御城 业主急售！！豪华装修 东南朝向 来电优先看房！！,3室2厅2卫,88.34㎡,东南,低层(共33层),2020年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","东南,满五年,近地铁,户型方正",184,20829元/㎡
坪山中心区，六和城 交通便利     校 楼下大型商场 地铁,4室2厅2卫,139.59㎡,南,高层(共29层),2016年建造,六和城,坪山,坪山,深汕路168号,"南,满五年,近地铁",366,26220元/㎡
星河荣御 南北通透 双卫双阳台 满五  税少 医疗配套成熟,5室2厅2卫,143㎡,南北,中层(共39层),2017年建造,星河荣御,宝安,沙井,沙井路,"南北,满五年,近地铁,车位充足",530,37063元/㎡
乐城二期精装四房南北通透双阳台格局一线公园山景视野开阔无遮挡,4室2厅2卫,143㎡,南北,中层(共32层),2023年建造,乐城(二期),龙岗,大运,联信路2号,"南北,近地铁,次新房,多人关注",375,26224元/㎡
凯旋城朝南奢阔大三房，看房随时方便,3室2厅2卫,106.97㎡,南,中层(共31层),2006年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"南,热门小区,配套成熟,价格优惠",780,72918元/㎡
临地铁 产权清晰 精装修 西南朝向 有电梯 商业配套成熟,2室2厅1卫,70.23㎡,西南,低层(共34层),2023年建造,万科启城家园,龙华,龙华区政府,碧澜路,"西南,满五年,近地铁,次新房",225,32038元/㎡
石厦花园诚心出售，朝南采光佳，厅出阳台，带地面花园，,3室2厅1卫,85.79㎡,东南,低层(共44层),2018年建造,新天石厦花园,福田,石厦,石厦二街,"东南,唯一住房,近地铁,车位充足",650,75767元/㎡
电梯多层三房 大花园社区出门前海山姆 地铁,3室2厅1卫,89.87㎡,南北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"南北,满五年,近地铁,户型方正",425,47291元/㎡
沙头角次新房，鹏瑞尚府精装3房双阳台,3室2厅2卫,117.61㎡,南北,低层(共46层),2024年建造,鹏瑞尚府,盐田,沙头角,田心东路,"南北,有电梯,近地铁,次新房",538,45745元/㎡
东南朝向三室两厅，公园环绕，地铁便捷，舒适生活尽在此处。,3室2厅2卫,116.59㎡,东南,中层(共32层),2000年建造,怡园大厦,南山,南山中心区,学府路101号,"东南,满五年,近地铁,采光较好",460,39455元/㎡
已出证！急急急！业主急售！御龙天地大三房 近地铁 看房方便,3室2厅2卫,108㎡,南,中层(共55层),2025年建造,御龙天地,罗湖,翠竹,华丽路,"南,热门小区,配套成熟,房东急售",599,55463元/㎡
精装好房 临地铁 购物方便 东南朝向 刚需小三居 带电梯,3室2厅1卫,78.46㎡,东南,低层(共32层),2013年建造,万科公园里,布吉,南岭,樟富北路8号,"东南,满五年,户型方正",245,31227元/㎡
沙井 满五 双卫格局 小三房 精装可拎包入住 小区新 电梯房,3室2厅2卫,88.99㎡,南,低层(共33层),2015年建造,博林君瑞,宝安,沙井,"中心路,近上星南路","南,满五年,近地铁,户型方正",336.8,37847元/㎡
福田带私家院子的房子，还带固定车位！,3室2厅1卫,98.59㎡,南北,低层(共8层),1984年建造,滨江新村,福田,上步,东园路77号,"南北,满五年,近地铁,采光较好",438,44427元/㎡
所有户型双阳台三阳台。,4室2厅2卫,113.21㎡,南,高层(共26层),2008年建造,泰华阳光海,宝安,碧海湾,悦和路6号,"南,有电梯,近地铁,车位充足",820,72432元/㎡
星河天地四期精装四房诚售,4室2厅2卫,113㎡,西北,高层(共45层),2024年建造,星河天地(四期),光明,光明,"东周一街,近东周三街","西北,唯一住房,近地铁,次新房",495,43806元/㎡
硬核好房 地段配套双   花少钱享主城全配套,3室1厅0卫,84.71㎡,东南,低层(共32层),1991年建造,海富花园,罗湖,黄贝岭,深南东路1017号,"东南,价格优惠,房东急售,随时可看",265,31284元/㎡
南山意境 交通便捷 商品住宅 双卫 医疗配套成熟 豪华精装,3室2厅2卫,77.1㎡,南北,低层(共32层),2012年建造,南山意境,南山,南头,南青路18号,"南北,满五年,近地铁,多人关注",250,32426元/㎡
鸿荣源物业，准电梯精装修大三房，急卖，看房方便 欢迎私聊,3室2厅1卫,89.58㎡,西南,高层(共8层),1988年建造,弘雅花园(二期),宝安,新安,上川路32号,"西南,近地铁,采光较好",399,44542元/㎡
海景豪宅  南北通透  复试大四房精装修  蓝郡西堤,4室2厅3卫,141.98㎡,东南,中层(共38层),2014年建造,蓝郡西堤,盐田,沙头角,金融路,"东南,有电梯,近地铁,车位充足",900,63390元/㎡
佳兆业城市广场三房，     ，厅出阳台，光线充足,3室2厅1卫,89.46㎡,南,中层(共47层),2013年建造,佳兆业城市广场(一期),龙岗,坂田,坂雪岗大道1166号,"南,满五年,近地铁,车位充足",375,41919元/㎡
万科启城家园 出行方便 朝南 临地铁 带电梯 次新房 小三居,3室2厅2卫,104㎡,南,低层(共34层),2023年建造,万科启城家园,龙华,龙华区政府,碧澜路,"南,满二年,近地铁,次新房",335,32212元/㎡
仁恒公园世纪(一期) 交通便捷 装修好 商品房 近医院,3室2厅1卫,82.64㎡,南北,中层(共30层),2020年建造,仁恒公园世纪(一期),龙岗,爱联,龙岗大道,"新上小区,南北通透,公摊小",368,44531元/㎡
龙华区政府 南向采光好 得房率高 次新小区 带电梯,3室2厅1卫,79㎡,南,中层(共31层),2024年建造,招商雍云府,龙华,龙华区政府,福花路,"南,有电梯,次新房,采光较好",270,34178元/㎡
信义御城豪园，高楼层带地面花园，人车分流，业主诚心出售。,3室2厅2卫,89.13㎡,东南,高层(共32层),2013年建造,信义御城(一期),龙岗,横岗,"松茂路,近松柏路","东南,满五年,近地铁,采光较好",228,25581元/㎡
星河天地(一三期) 交通便捷 产权清晰 满五   正南朝向,3室2厅2卫,89.04㎡,南,低层(共49层),2020年建造,星河天地(一三期),光明,光明,光明大道511号,"南,满五年,近地铁,采光较好",292,32795元/㎡
大花园 看湖景和山景 容积率1.99 现楼发售,4室2厅2卫,176㎡,南,,2025年建造,龙岸·君粼,龙华,梅林关口,雅园路与华南路交汇处,"客餐厅相连,主卧套房,私密性好,轨交房",1379,78353元/㎡
华侨城一手新房 精装现楼   即住 均价6万出头 看房接送,3室2厅2卫,153㎡,南,,2024年建造,深业世纪山谷花园,南山,大冲,沙河东路218号,"主卧套房,厨卫全明,私密性好,轨交房",1308,85491元/㎡
600万三房新房精装现楼 深业颐樾府 龙华实验  旁 地铁口,3室2厅1卫,99㎡,南,,2025年建造,深业颐樾府(新房),龙华,莱蒙水榭春天,民塘路与上塘路交汇处（龙华区实验学校旁）,"主卧套房,厨卫全明,卧室全朝南,多轨交",714,72122元/㎡
3.5万现房 70年产权 通燃气 带精装 来电享受额外,1室0厅0卫,157㎡,南,,2019年建造,京基·御景峯,南山,大学城,塘长路与留仙大道交叉路口往东约100米,轨交房,830,52867元/㎡
上屋地铁口（内部价168全抛，红本过户）银行按揭，送新家私电,3室2厅1卫,75.9㎡,南,高层(共45层),2020年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南,满五年,近地铁,采光较好",276,36364元/㎡
罗湖次新小区，新出正规三房，户型方正结构合理，价格刚刚调整,3室2厅2卫,85.83㎡,西,高层(共45层),2017年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"西,满五年,近地铁,采光较好",528,61517元/㎡
厅出阳台朝南的三房，位置安静,3室2厅2卫,98.83㎡,西南,低层(共6层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"西南,满五年,近地铁,多人关注",618,62532元/㎡
前海花园 交通便捷 双卫格局 精装修 产权清晰 高楼层视野好,3室2厅2卫,90.94㎡,北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"北,热门小区,房东急售,随时可看",530,58281元/㎡
香山里 荀的一套，诚心出售，安静，看花园,3室2厅2卫,151.55㎡,南北,高层(共33层),2011年建造,波托菲诺香山里,南山,华侨城,侨北三街8号,"南北,满五年,近地铁,采光较好",1230,81162元/㎡
业主诚售 宏发世纪城(二期) 车位充足 有电梯 房龄新,3室2厅2卫,88.09㎡,南北,高层(共30层),2017年建造,宏发世纪城(二期),宝安,石岩,宝石东路,"南北,满五年,近地铁,车位充足",352,39960元/㎡
真笋盘，岗厦北正规两房二字头出售，高楼层视野好，看房找小杨,2室1厅1卫,61㎡,南北,高层(共32层),2001年建造,彩天名苑,福田,岗厦,彩田南路3016号,"南北,满五年,近地铁",290,47541元/㎡
佳兆业地铁口大四房 使用率高 户型方正业主诚心出售 价格可谈,4室2厅2卫,133㎡,南北,低层(共30层),2018年建造,佳兆业金御佳园,龙岗,平湖,平安大道,"南北,满五年,近地铁",399,30000元/㎡
仁恒公园世纪(一期) 交通便捷 装修好 商品房 近医院,3室2厅1卫,82.64㎡,南北,中层(共30层),2020年建造,仁恒公园世纪(一期),龙岗,爱联,龙岗大道,"南北,满五年,近地铁,车位充足",368,44531元/㎡
南向采光好 交通便捷 电梯房 环境好 小三房 商品住宅,3室2厅1卫,94.77㎡,南,低层(共15层),2004年建造,万裕椰风海岸家园,南山,前海,桃李路33号,"南,优势户型",555,58563元/㎡
华清园安业花园 满五   出行方便 精装修 小三房 带电梯,3室1厅2卫,74.32㎡,南北,中层(共17层),2000年建造,华清园安业花园,罗湖,黄贝岭,经二路38号,"南北,满五年,近地铁",230,30948元/㎡
勤诚达365急售可谈可分期包税过户！送车位13号线地铁南向,4室2厅2卫,143.49㎡,南,中层(共48层),2020年建造,勤诚达正大城悦园,光明,光明,光侨路,"南,满五年",435,30316元/㎡
救命！精装两房配    ，急售拼手速，错过  ！,2室2厅1卫,66.46㎡,东,低层(共29层),2009年建造,诺德假日花园,南山,前海,前海路0369号,"东,满五年,近地铁,绿化率高",430,64701元/㎡
福田必看笋盘（120万卖，房产证在手）红本过户，包按揭,3室2厅2卫,88㎡,南,低层(共15层),2017年建造,金梅花园,福田,下梅林,梅林路159号,"南,满五年,近地铁",188,21364元/㎡
罗湖淘金山二期一手顶楼复式毛坯，上下三层带花园可加建免 拥,8室3厅4卫,174.54㎡,南北,高层(共32层),2015年建造,淘金山,罗湖,水库,翠荫路268号,"南北,满五年,近地铁",1200,68753元/㎡
园岭加红岭双本部，业主置换诚心出售，看房方便价格好谈！,3室2厅1卫,84.33㎡,南,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南,热门小区,房东急售,随时可看",498,59054元/㎡
皇御苑C区B地块(深港1号) 60m2 2室1厅1卫,2室1厅1卫,59.61㎡,南,低层(共30层),2011年建造,深港1号,福田,皇岗,福田南路7号,"南,有电梯,近地铁,车位充足",290,48650元/㎡
大社区配套完善龙园大观三房,3室2厅2卫,89㎡,西南,低层(共43层),2018年建造,朗泓龙园大观(一期),龙岗,龙岗中心城,福宁路189号,"西南,有电梯,近地铁,车位充足",235,26405元/㎡
颐安都会中央 业主调价60出！！豪华装修 东南朝向 来电看房,4室2厅2卫,107.93㎡,东南,低层(共31层),2020年建造,颐安都会中央(四期),龙岗,大运,红棉路,"东南,满五年,近地铁,户型方正",364,33726元/㎡
大 运中心颐安都会中央四期！全新装三房双卫中楼层向阳来电看房,3室2厅2卫,88.57㎡,东南,低层(共31层),2022年建造,颐安都会中央(四期),龙岗,大运,红棉路,"东南,满五年,近地铁,次新房",305,34437元/㎡
颐安都会中央三期 精装三房 朝南看花园 来电急售 有钥匙,3室2厅2卫,85㎡,东南,中层(共32层),2022年建造,颐安都会中央(三期),龙岗,大运,龙飞大道,"东南,满二年,近地铁,车位充足",313,36824元/㎡
总层11楼小高层住宅公园环绕，地铁便捷多所  环绕居家,3室2厅2卫,94.21㎡,南,低层(共11层),2021年建造,深铁瑞城,光明,光明,光侨路,"南,热门小区,近地铁,优势户型",448,47554元/㎡
万科金域学府 业主急售！豪华大平层 视野无遮挡 来电优先看房,5室2厅3卫,181㎡,东南,低层(共49层),2021年建造,万科金域学府,龙岗,龙城国际,龙埔路,"东南,满五年,近地铁,次新房",530,29282元/㎡
